File Name,Label,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvector_1_X,Eigenvector_2_X,Eigenvector_3_X,Eigenvector_1_Y,Eigenvector_2_Y,Eigenvector_3_Y,Eigenvector_1_Z,Eigenvector_2_Z,Eigenvector_3_Z
steel_stairs_close_center_220.pcd,1,0.3091804175797896,0.2234993048550241,0.027115917166769,0.5292739014194019,0.7819116752988027,0.3293679846428685,-0.1705811938338257,0.4783379078460476,-0.8614493033415795,0.8311264606463399,-0.3997586496236021,-0.3865511977275485
steel_stairs_close_center_221.pcd,1,0.2852760559781084,0.2260716576694846,0.0293105541103239,0.5494742768975384,0.7511814413121193,0.3657929212767448,-0.121525301011535,0.5050064410034947,-0.8545174636945931,0.8266254413227209,-0.4250822705938598,-0.3687755997687285
steel_stairs_close_center_218.pcd,1,0.3269996479001993,0.2260278679785578,0.0228369449599755,0.4349386637428444,0.815557731191073,0.3816987632624151,-0.1865703629205649,0.4963144405634439,-0.8478581696061457,0.8809198933281489,-0.2975526225437515,-0.3680252414659329
stairs moving_1_116.pcd,1,0.4550252964343954,0.2052171591743468,0.0606625277368246,0.4660040869630685,0.8831218498482007,-0.0541847695797328,-0.0605025914793309,-0.0292912671177328,-0.9977381711125032,0.8827115198965073,-0.4682283844357682,-0.0397813103186463
stairs moving_1_0.pcd,1,0.4428977431336423,0.2628153227878566,0.024786079576519,0.3729092464036429,0.8857718938611129,-0.2763093302665782,0.0550228028165751,-0.3183758404411715,-0.9463663748219217,0.9262349513578482,-0.3377054578609524,0.1674629469884281
steel_stairs_left_8.pcd,1,0.208863262130808,0.1022574063726449,0.0436683481086223,-0.7814831161594471,0.1104739857895316,-0.6140681050351777,-0.1933299887682558,0.8928835870548267,0.4066723686347175,0.5932180497933165,0.436525369745998,-0.6764155135473567
steel_stairs_left_9.pcd,1,0.2154329381152564,0.114033557144815,0.0342233459841721,-0.7853597590787288,0.0916423555978427,-0.6122186925276614,-0.2046233171972346,0.8949582915564663,0.396458010933731,0.5842425411410919,0.4366363876669109,-0.6841120654440982
steel_stairs_left_3.pcd,1,0.228898304765343,0.1104773672707147,0.0453401838330138,-0.8140938616135537,0.139477011427227,-0.5637351752077044,-0.1489980792052788,0.8880702119304147,0.4348917923748452,0.5612938240140093,0.4380381969248765,-0.7021907014184485
steel_stairs_left_2.pcd,1,0.2338547476364423,0.1119957886106375,0.0398405837962578,-0.8106091101724122,0.0790837080181398,-0.5802229206361912,-0.1848882916392332,0.9055920325293336,0.3817320922245286,0.5556340433416729,0.41671193616873,-0.7194594999958593
steel_stairs_left_7.pcd,1,0.2272619040386981,0.1054890014280169,0.0451205493658457,-0.7873304190765508,0.1199533490709652,-0.6047495392667959,-0.2032873495203576,0.8755260188313174,0.4383245873486587,0.5820524587369518,0.4680442120099801,-0.6649432689201585
steel_stairs_left_1.pcd,1,0.2260109713446587,0.119198553234516,0.0421861935111644,-0.8116455932673342,-0.0073379306369957,-0.5841040880730789,-0.2852863834387231,0.8775423999085892,0.385397218188102,0.5097480851893124,0.4794428966380043,-0.7143468334843998
steel_stairs_left_5.pcd,1,0.2420234462946043,0.1156977259332083,0.0423804068262955,-0.8025621447544202,0.1031959391708084,-0.5875751883340883,-0.2071975629326259,0.8753940745769846,0.4367543750327922,0.559431116154585,0.472266675019696,-0.6811761988970806
wooden_stairs_shallow_left_grand.pcd,1,0.4180027205686809,0.1417511110472651,0.0994621927406472,-0.2163893703871592,0.95156144035322,0.2184180981886655,0.9025465774623948,0.1096657810497164,0.4163929538040624,-0.3722704875414718,-0.2872355160833361,0.8825590305503502
wooden_stairs_shallow_climbing_38.pcd,1,0.3568664963378796,0.2780217362604891,0.0698987701267459,0.069153150922089,0.6234014220489624,0.778837921974064,-0.2375826315324687,0.7685356095838924,-0.5940601905494278,0.96890264470258,0.143957229026008,-0.2012560093500302
wooden_stairs_shallow_climbing_58.pcd,1,0.3572050001941488,0.1571191491869467,0.0286578621847656,0.2678405651034414,-0.9470119821239756,-0.1772843405343167,-0.2441015728658873,-0.2447046272640315,0.9383677677328706,0.9320278181521562,0.2080575668155086,0.2967089400091294
wooden_stairs_shallow_climbing_11.pcd,1,0.97498974918032,0.1623557274812337,0.0699053992528618,-0.6188530748081311,0.0947386259269634,-0.7797727005724124,-0.1782713764494782,0.9498575480485472,0.2568851002958519,0.7650099268240451,0.2979852868392539,-0.5709330789926238
wooden_stairs_shallow_climbing_35.pcd,1,0.3708170898876783,0.2952157723862063,0.085215098745514,0.1467189894104206,0.5004147104555527,0.8532635323896541,-0.3315785555869034,0.8375728047574866,-0.434197487562493,0.931949140039996,0.2192188730250278,-0.2888146223589606
wooden_stairs_shallow_climbing_32.pcd,1,0.3839772445071794,0.3093264752920891,0.0919416327656064,0.2443187141314951,0.2895489432779839,0.9254565226804204,-0.387575654966264,0.9039910830883684,-0.1805138038328095,0.8888720254359479,0.3145815174852481,-0.3330840603422419
wooden_stairs_shallow_climbing_61.pcd,1,0.3469049561429629,0.148032180286123,0.0415777612806398,0.3176365069703892,-0.9396446076830356,-0.1271812120238032,-0.1312331868901116,-0.1764003818435442,0.9755310122923396,0.939087269692394,0.2931738674193957,0.1793437575273797
wooden_stairs_shallow_climbing_10.pcd,1,1.021712920900009,0.1570643481692815,0.0639407718926097,-0.6245530172717223,0.0905405320077961,-0.7757164048030265,-0.1857337609703508,0.9475402312853302,0.2601355034045737,0.7585753084912503,0.3065451388612901,-0.5749726769055341
